DeliveryPeriod,SettlementPrice,CotationDate
2023-03-01,,2022-09-07
2023-04-01,,2022-09-07
2023-05-01,,2022-09-07
2023-06-01,,2022-09-07
2023-07-01,,2022-09-07
2023-08-01,,2022-09-07
2023-09-01,395.324,2022-09-07
2023-10-01,509.840,2022-09-07
2023-11-01,606.181,2022-09-07
2023-12-01,595.099,2022-09-07
2024-01-01,616.743,2022-09-07
2024-02-01,613.487,2022-09-07
2024-03-01,497.944,2022-09-07
2024-04-01,245.982,2022-09-07
2024-05-01,218.508,2022-09-07
2024-06-01,235.691,2022-09-07
2024-07-01,240.255,2022-09-07
2024-08-01,219.822,2022-09-07
2024-09-01,258.335,2022-09-07
2024-10-01,287.176,2022-09-07
2024-11-01,341.442,2022-09-07
2024-12-01,335.200,2022-09-07
2025-01-01,287.888,2022-09-07
2025-02-01,286.368,2022-09-07
2025-03-01,232.434,2022-09-07
2025-04-01,187.756,2022-09-07
2025-05-01,166.785,2022-09-07
2025-06-01,179.901,2022-09-07
2025-07-01,183.385,2022-09-07
2025-08-01,167.789,2022-09-07
2025-09-01,197.185,2022-09-07
2025-10-01,219.199,2022-09-07
2025-11-01,260.620,2022-09-07
2025-12-01,255.855,2022-09-07
2026-01-01,267.439,2022-09-07
2026-02-01,266.027,2022-09-07
2026-03-01,215.924,2022-09-07
2026-04-01,174.420,2022-09-07
2026-05-01,154.938,2022-09-07
2026-06-01,167.123,2022-09-07
2026-07-01,170.359,2022-09-07
2026-08-01,155.871,2022-09-07
2026-09-01,183.179,2022-09-07
2026-10-01,203.630,2022-09-07
2026-11-01,242.108,2022-09-07
2026-12-01,237.682,2022-09-07
2027-01-01,245.067,2022-09-07
2027-02-01,243.773,2022-09-07
2027-03-01,197.861,2022-09-07
2027-04-01,159.829,2022-09-07
2027-05-01,141.977,2022-09-07
2027-06-01,153.142,2022-09-07
2027-07-01,156.108,2022-09-07
2027-08-01,142.831,2022-09-07
2027-09-01,167.855,2022-09-07
2027-10-01,186.595,2022-09-07
2027-11-01,221.855,2022-09-07
2027-12-01,217.799,2022-09-07
2028-01-01,240.917,2022-09-07
2028-02-01,239.645,2022-09-07
2028-03-01,194.510,2022-09-07
2028-04-01,157.122,2022-09-07
2028-05-01,139.573,2022-09-07
2028-06-01,150.549,2022-09-07
2028-07-01,153.464,2022-09-07
2028-08-01,140.413,2022-09-07
2028-09-01,165.013,2022-09-07
2028-10-01,183.435,2022-09-07
2028-11-01,218.098,2022-09-07
2028-12-01,214.111,2022-09-07
