id,projet_id,projet,technologie,cod,mw,taux_succès,puissance_installée,eoh,date_merchant,date_dementelement,repowering,date_msi,en_planif
1,N15,Caumont-Chériennes (CC),éolien,2023-11-01,17.250,1.000,17.250,,2043-11-01,,,2023-11-01,False
2,ECO5,Les Cent Mencaudées (SOL),éolien,2024-01-01,15.000,1.000,15.000,,2044-01-01,,,2024-01-01,False
3,KEI3,Bougainville,éolien,2022-11-01,18.000,1.000,18.000,,2042-11-01,,,2022-11-01,False
4,ECO8,Bois de St-Aubert (WAL)*,éolien,2024-01-01,18.000,1.000,18.000,,2044-01-01,,,2024-01-01,False
5,KEI2,Bois Ricart,éolien,2023-11-01,14.000,1.000,14.000,,2043-11-01,,,2023-11-01,False
6,S09,Extension Avignonet,solaire,2024-03-01,15.400,0.769,11.850,,2044-03-01,,,2024-03-01,False
7,GO15,Marcillé,éolien,2023-08-01,12.000,1.000,12.000,,2043-08-01,,,2023-08-01,False
8,N16,Moulin Blanc,éolien,2024-03-01,25.600,1.000,25.600,,2044-03-01,,,2024-03-01,False
9,ECO3,Extension Plaine d'Escrebieux (XPE),éolien,2021-08-01,13.800,1.000,13.800,,2041-08-01,,,2021-08-01,False
10,GE1,Eparmonts-Repowering,éolien,2024-05-01,13.200,1.000,13.200,,2044-05-01,,,2024-05-01,False
11,N1,Helfaut (SSO),éolien,2024-06-01,20.000,1.000,20.000,,2044-06-01,,,2024-06-01,False
12,NGE1,Repowering Boulay,éolien,2024-08-01,14.000,0.890,12.460,,2044-08-01,,,2024-08-01,False
13,ECO1,La Grande Borne (LGB),éolien,2021-12-01,8.800,1.000,8.800,,2041-12-01,,,2021-12-01,False
14,ECO4,Mont de Bagny II (XMB),éolien,2024-11-01,15.000,0.890,13.350,,2044-11-01,,,2024-11-01,False
15,GO22,Les Moulins du Lohan ,éolien,2023-05-01,64.600,1.000,64.600,,2043-05-01,,,2023-05-01,False
16,GO01,Louville extension BDF ,éolien,2022-06-01,25.200,1.000,25.200,,2042-06-01,,,2022-06-01,False
17,GO02,Louville repowering EEJ ,éolien,2022-08-01,14.400,1.000,14.400,,2042-08-01,,,2022-08-01,False
18,GO03,Louville repowering RCL ,éolien,2022-07-01,14.400,1.000,14.400,,2042-07-01,,,2022-07-01,False
19,SE07,Mazagran,solaire,2024-09-01,106.000,0.769,81.567,,2044-09-01,,,2024-09-01,False
20,SE11,Cruis,solaire,2024-12-01,14.810,0.855,12.663,,2044-12-01,,,2024-12-01,False
21,ECO9,Seuil du Cambrésis (RIB2),éolien,2024-12-01,19.800,1.000,19.800,,2044-12-01,,,2024-12-01,False
22,GE3,Vallée de l'Arce Extension,éolien,2024-11-01,36.000,0.800,28.800,,2044-11-01,,,2024-11-01,False
23,AURA19,S43-01 St-Christophe,solaire,2022-08-01,12.500,1.000,12.500,,2042-08-01,,,2022-08-01,False
24,AURA22,Chazottes / Rageade,éolien,2024-11-01,32.000,0.800,25.600,,2044-11-01,,,2024-11-01,False
25,SE01,Peyrolles ,solaire,2021-12-01,14.600,1.000,14.600,,2041-12-01,,,2021-12-01,False
26,SE19,Pézènes-les-Mines,solaire,2023-03-01,16.000,1.000,16.000,,2043-03-01,,,2023-03-01,False
27,GO16,Préveranges,éolien,2023-03-01,12.000,1.000,12.000,,2043-03-01,,,2023-03-01,False
28,BFC04,Rosoy (Plaine de Nange),solaire,2024-03-01,28.000,0.769,21.546,,2044-03-01,,,2024-03-01,False
29,KEI4,Repowering Mont de Bézard II,éolien,2023-02-01,25.200,1.000,25.200,,2043-02-01,,,2023-02-01,False
30,SE04,La Motte (PV) ,solaire,2024-10-01,9.200,0.769,7.079,,2044-10-01,,,2024-10-01,False
